run_id,commit_hash,video_path,seq_name,tracker,method,resolution,requested_frames,processed_frames,total_time_s,mean_fps,mean_latency_ms,p50_latency_ms,p95_latency_ms,peak_memory_mb,detector_calls_total,detector_calls_high_det,detector_calls_low_det,detector_calls_tracker_update,mean_read_ms,mean_high_det_ms,mean_low_det_ms,mean_tracker_ms,status,failure
speed_1000,157ed52aa3d4d83df2a9c0c67a8d99b1cc8e51d1,/mnt/d/Desktop/UAV_USV标注数据集/multi_target_source_videos/USV/RGB/DJI_20250916100639_0001_V.MP4,DJI_20250916100639_0001_V,ocsort,FFCA-YOLO + OC-SORT,3840x2160,1000,1000,86.107156,11.613437,86.107156,81.536032,92.844712,1864.586000,1000,1000,0,0,10.332352,75.420219,0.000000,0.346783,ok,
speed_1000,157ed52aa3d4d83df2a9c0c67a8d99b1cc8e51d1,/mnt/d/Desktop/UAV_USV标注数据集/multi_target_source_videos/USV/RGB/DJI_20250916100639_0001_V.MP4,DJI_20250916100639_0001_V,botsort,FFCA-YOLO + BoT-SORT,3840x2160,1000,1000,113.874484,8.781598,113.874484,111.117192,126.796210,1892.461000,1000,1000,0,0,8.030046,79.282737,0.000000,26.552481,ok,
speed_1000,157ed52aa3d4d83df2a9c0c67a8d99b1cc8e51d1,/mnt/d/Desktop/UAV_USV标注数据集/multi_target_source_videos/USV/RGB/DJI_20250916100639_0001_V.MP4,DJI_20250916100639_0001_V,msdc_elt,FFCA-YOLO + MS-DC-ELT,3840x2160,1000,1000,392.956127,2.544813,392.956127,324.689275,613.038122,2113.047000,2952,1000,1000,952,9.950573,77.153770,79.892962,225.948916,ok,
