run_name,method,tracker,HOTA,DetA,AssA,MOTA,IDF1,IDSW,FP,FN,IDTP,IDFP,IDFN,mot_result_path,trackeval_output_root
main_full,FFCA-YOLO + MS-DC-ELT,Ours-full,55.78748,63.57144,49.75196,72.19103,52.83628,154,4172,26832,53213,36170,58830,/home/hyj/Anti_Drone_Project/Marine-Target-Vision-System/results/msdc_paper_phase1/formal_20260609_015836/main/main_full/trackers/Ours-full/data/DJI_20250711140128_0002_V.txt,/home/hyj/Anti_Drone_Project/Marine-Target-Vision-System/results/msdc_paper_phase1/formal_20260609_015836/main/main_full/eval
main_full,FFCA-YOLO + BoT-SORT,botsort,75.37659,69.1015,82.32799,75.64506,82.25078,33,3327,23928,83684,7758,28359,/home/hyj/Anti_Drone_Project/Marine-Target-Vision-System/results/msdc_paper_phase1/formal_20260609_015836/main/main_full/trackers/botsort/data/DJI_20250711140128_0002_V.txt,/home/hyj/Anti_Drone_Project/Marine-Target-Vision-System/results/msdc_paper_phase1/formal_20260609_015836/main/main_full/eval
main_full,FFCA-YOLO + OC-SORT,ocsort,69.10581,69.08914,69.45903,75.63168,69.58317,39,3332,23932,70796,20647,41247,/home/hyj/Anti_Drone_Project/Marine-Target-Vision-System/results/msdc_paper_phase1/formal_20260609_015836/main/main_full/trackers/ocsort/data/DJI_20250711140128_0002_V.txt,/home/hyj/Anti_Drone_Project/Marine-Target-Vision-System/results/msdc_paper_phase1/formal_20260609_015836/main/main_full/eval
