4,1,2166.00,1347.00,66.00,87.00,3.8554,-1,-1,-1
4,2,1859.00,1164.00,87.00,106.00,3.8173,-1,-1,-1
5,1,2166.00,1348.00,66.00,87.00,4.8776,-1,-1,-1
5,2,1859.00,1165.00,87.00,106.00,4.8469,-1,-1,-1
6,1,2166.00,1349.00,66.00,87.00,5.7442,-1,-1,-1
6,2,1860.00,1165.00,86.00,106.00,5.7211,-1,-1,-1
7,1,2166.00,1350.00,66.00,87.00,6.4757,-1,-1,-1
7,2,1859.00,1166.00,87.00,106.00,6.4484,-1,-1,-1
8,1,2166.00,1351.00,66.00,87.00,7.0881,-1,-1,-1
8,2,1859.00,1168.00,87.00,106.00,7.0634,-1,-1,-1
9,2,1859.00,1169.00,87.00,106.00,7.6025,-1,-1,-1
9,1,2166.00,1352.00,65.00,88.00,7.5891,-1,-1,-1
10,2,1859.00,1170.00,87.00,106.00,8.0586,-1,-1,-1
10,1,2166.00,1353.00,65.00,88.00,8.0246,-1,-1,-1
11,2,1859.00,1170.00,87.00,106.00,8.4487,-1,-1,-1
11,1,2166.00,1354.00,65.00,88.00,8.3897,-1,-1,-1
12,2,1860.00,1171.00,86.00,106.00,8.7906,-1,-1,-1
12,1,2167.00,1355.00,65.00,87.00,8.7060,-1,-1,-1
13,2,1860.00,1171.00,86.00,107.00,9.0856,-1,-1,-1
13,1,2167.00,1355.00,65.00,88.00,8.9751,-1,-1,-1
14,2,1860.00,1171.00,86.00,107.00,9.3383,-1,-1,-1
14,1,2167.00,1355.00,65.00,88.00,9.2079,-1,-1,-1
15,2,1860.00,1171.00,86.00,107.00,9.5528,-1,-1,-1
15,1,2167.00,1355.00,65.00,88.00,9.4100,-1,-1,-1
16,2,1860.00,1171.00,86.00,108.00,9.7287,-1,-1,-1
16,1,2167.00,1355.00,66.00,89.00,9.5783,-1,-1,-1
17,2,1860.00,1171.00,86.00,108.00,9.8834,-1,-1,-1
17,1,2167.00,1355.00,65.00,89.00,9.7252,-1,-1,-1
18,2,1861.00,1171.00,85.00,107.00,10.0068,-1,-1,-1
18,1,2167.00,1355.00,66.00,89.00,9.8467,-1,-1,-1
19,2,1861.00,1171.00,85.00,107.00,10.1139,-1,-1,-1
19,1,2167.00,1356.00,66.00,89.00,9.9526,-1,-1,-1
20,2,1861.00,1170.00,85.00,108.00,10.2001,-1,-1,-1
20,1,2167.00,1355.00,66.00,89.00,10.0380,-1,-1,-1
21,2,1861.00,1170.00,85.00,109.00,10.2763,-1,-1,-1
21,1,2167.00,1356.00,66.00,89.00,10.1189,-1,-1,-1
22,2,1861.00,1170.00,85.00,110.00,10.3364,-1,-1,-1
22,1,2167.00,1356.00,66.00,89.00,10.1919,-1,-1,-1
23,2,1860.00,1169.00,86.00,111.00,10.3904,-1,-1,-1
23,1,2167.00,1356.00,66.00,89.00,10.2547,-1,-1,-1
24,2,1860.00,1169.00,86.00,111.00,10.4347,-1,-1,-1
24,1,2167.00,1356.00,66.00,89.00,10.3084,-1,-1,-1
25,2,1860.00,1169.00,87.00,111.00,10.4693,-1,-1,-1
25,1,2168.00,1355.00,66.00,90.00,10.3569,-1,-1,-1
26,2,1860.00,1169.00,86.00,112.00,10.4967,-1,-1,-1
